full_text,text_clean,class,tokens,lemma
@ajengcute16__ Betina tolol.. nggak mungkin juga Ganjar atau Anies.. dasar betina tolol akut..,betina tolol dasar betina tolol akut,1,"['betina', 'tolol', 'dasar', 'betina', 'tolol', 'akut']",betina tolol dasar betina tolol akut
Scroll bawah sikit jumpa la videonya. Terhibur baca komenðŸ˜‚,scroll bawah sikit jumpa video hibur baca komen,0,"['scroll', 'bawah', 'sikit', 'jumpa', 'video', 'hibur', 'baca', 'komen']",scroll bawah sikit jumpa video hibur baca komen
"@SlametJogja @DoankWarto Kelahiran anies jelas di kuningan jabar, orang tuanya jelas, kakeknya jelas pahlawan kemerdekaan, ijazahnya jelas asli.  Yang gak jelas itu isi pale lo",lahir jelas kuningan jabar orang tua jelas kakek jelas pahlawan merdeka ijazah jelas asli jelas pale kamu,2,"['lahir', 'jelas', 'kuningan', 'jabar', 'orang', 'tua', 'jelas', 'kakek', 'jelas', 'pahlawan', 'merdeka', 'ijazah', 'jelas', 'asli', 'jelas', 'pale', 'kamu']",lahir jelas kuningan jabar orang tua jelas kakek jelas pahlawan merdeka ijazah jelas asli jelas pale kamu
"@timellcome Gini amat narasi akun pendukung Pak Anies  Tapi ada bagusnya karena ada yang memulai narasi ... Bisa berenang tidak, capres mu?""  ""Bisa berkuda tidak, capresmu?""  ""Bisa pencak silat tidak, capresmu?""  ""Bisa naik pesawat jet tempur tidak, capresmu?""  Thanks, Pa'oel  ""Loe jual,â€¦""",gin narasi akun dukung bagus mulai narasi renang capres kuda capresmu pencak silat capresmu naik pesawat tempur capresmu terima kasih kamu jual,1,"['gin', 'narasi', 'akun', 'dukung', 'bagus', 'mulai', 'narasi', 'renang', 'capres', 'kuda', 'capresmu', 'pencak', 'silat', 'capresmu', 'naik', 'pesawat', 'tempur', 'capresmu', 'terima', 'kasih', 'kamu', 'jual']",gin narasi akun dukung bagus mulai narasi renang capres kuda capresmu pencak silat capresmu naik pesawat tempur capresmu terima kasih kamu jual
@Gus_Raharjo Sudah pak ET gabung ke tim pak Ganjar-Mahfud aja biar bisa bersinergi utk membangun Indonesia menuju Indonesia Unggul,gabung mahfud supaya sinergi bangun indonesia tuju indonesia unggul,2,"['gabung', 'mahfud', 'supaya', 'sinergi', 'bangun', 'indonesia', 'tuju', 'indonesia', 'unggul']",gabung mahfud sinergi bangun indonesia tuju indonesia unggul
"Kalimat kalimat Ganjar harus di pertanggungjawaban, ketum PP juga tidak ingin ada masyarakat yang memiliki hobi yang sama  #Megawaty #wanitaperisai #ganjarsukavideoporno https://t.co/9i6wI7yyZM",kalimat kalimat pertanggungjawaban ketua umum pulang pergi masyarakat milik hobi,1,"['kalimat', 'kalimat', 'pertanggungjawaban', 'ketua', 'umum', 'pulang', 'pergi', 'masyarakat', 'milik', 'hobi']",kalimat kalimat pertanggungjawaban ketua umum pulang pergi masyarakat milik hobi
@Melihat_Indo @ganjarpranowo Ganjar pranowo is the best pokoknya gass poll pilih pak ganjar pranowo capres 2024,best pokok poll pilih capres,2,"['best', 'pokok', 'poll', 'pilih', 'capres']",best pokok poll pilih capres
@KerjaHasil_id Ganjar sudah melakukan aksi nyata dgn memboikot israel,laku aksi nyata boikot israel,2,"['laku', 'aksi', 'nyata', 'boikot', 'israel']",laku aksi nyata boikot israel
"@ganjarpranowo @urbansneakersoc Jangan pernah bosan untuk mendukung semangat dan kreativitas anak muda ini, ya Pak Ganjar ðŸ¥º Terus beri support dan fasilitas agar mereka makin maju! dan sejahtera â¤",bosan dukung semangat kreativitas anak muda terus beri support fasilitas maju sejahtera,2,"['bosan', 'dukung', 'semangat', 'kreativitas', 'anak', 'muda', 'terus', 'beri', 'support', 'fasilitas', 'maju', 'sejahtera']",bosan dukung semangat kreativitas anak muda terus beri support fasilitas maju sejahtera
https://t.co/yQ854wAHAk perisai-megawaty-kembali-persoalkan-ganjar-suka-video-porno  #Megawaty #wanitaperisai #ganjarsukavideoporno,perisai megawaty soal suka video porno,1,"['perisai', 'megawaty', 'soal', 'suka', 'video', 'porno']",perisai megawaty soal suka video porno
"@Melihat_Indo @ganjarpranowo Semoga Jikalau Pak Ganjar sudah duduk di kursi paling atas, jangan membuatnya patah hati karena sikap dan tindakannya seperti pemimpin saat ini ðŸ™",moga duduk kursi atas buat patah hati sikap tindak pimpin,1,"['moga', 'duduk', 'kursi', 'atas', 'buat', 'patah', 'hati', 'sikap', 'tindak', 'pimpin']",moga duduk kursi atas buat patah hati sikap tindak pimpin
@Melihat_Indo @ganjarpranowo Sehat selalu pak Ganjar pranowo semoga selalu didatangkan hal hal yang baik,sehat moga datang baik,2,"['sehat', 'moga', 'datang', 'baik']",sehat moga datang baik
"@Paltiwest israel tidak akan pernah berubah, begitu pula sikap jati diri INDONESIA ini terhadap israel. Penjajahan didunia harus dihapuskan, penjajah israel harus dihapuskan BUKAN malah di Normalisasi sebuah Negara.Aku Bangga Indonesia Mempunyai Sikap itu,bukan GANJAR tetapi KONSTITUSI KITA",israel ubah sikap jati indonesia israel jajah dunia hapus jajah israel hapus normalisasi negara bangga indonesia punya sikap konstitusi,1,"['israel', 'ubah', 'sikap', 'jati', 'indonesia', 'israel', 'jajah', 'dunia', 'hapus', 'jajah', 'israel', 'hapus', 'normalisasi', 'negara', 'bangga', 'indonesia', 'punya', 'sikap', 'konstitusi']",israel ubah sikap jati indonesia israel jajah dunia hapus jajah israel hapus normalisasi negara bangga indonesia punya sikap konstitusi
"Buat yang 2014 &amp  2019 Lawan BOWO  Ngapain 2024 jadi PROBOWO  sanggup ya kalian makan kotoran sendiri, layaknya BABI",lawan bowo sedang apa jadi probowo sanggup makan kotor layak babi,1,"['lawan', 'bowo', 'sedang', 'apa', 'jadi', 'probowo', 'sanggup', 'makan', 'kotor', 'layak', 'babi']",lawan bowo sedang apa probowo sanggup makan kotor layak babi
"anjinggg mimpi aneh lg masa ig gw dihack trus jd ngepost sesuatu ttg ganjar trus ada yg komen lu kan pekerja""""",anjinggg mimpi aneh masa dihack terus jadi ngepost terus komen kamu kerja,1,"['anjinggg', 'mimpi', 'aneh', 'masa', 'dihack', 'terus', 'jadi', 'ngepost', 'terus', 'komen', 'kamu', 'kerja']",anjinggg mimpi aneh masa dihack terus ngepost terus komen kamu kerja
@triwul82 Ni di kasih prabowo-gibran 100% GANJAR-NAHFUD MD 0% Anis imin 0%  Redponden kader gerindra Trial error 50%,kasih gibran nahfud anis imin redponden kader gerindra trial error,2,"['kasih', 'gibran', 'nahfud', 'anis', 'imin', 'redponden', 'kader', 'gerindra', 'trial', 'error']",kasih gibran nahfud anis imin redponden kader gerindra trial error
Pakar Hukum dan Kubu Ganjar Ramai-ramai Tanggapi Operasi Rahasia Gagalkan Gibran Jadi Cawapres https://t.co/n8ItBIitkQ,pakar hukum kubu ramai ramai tanggap operasi rahasia gagal gibran jadi cawapres,1,"['pakar', 'hukum', 'kubu', 'ramai', 'ramai', 'tanggap', 'operasi', 'rahasia', 'gagal', 'gibran', 'jadi', 'cawapres']",pakar hukum kubu ramai ramai tanggap operasi rahasia gagal gibran cawapres
Keberhasilan reformasi dan Demokrasi membaik berbuah orang yang biasaÂ² di daerah mjd Presiden.  Tapi dengan beliau menabur garam di langit demokrasi yg cerah kini langit demokrasi mjd mendung.  Semoga Pak Ganjar mampu membentangkan Merah Putih saat terjd hujan #GasssGanjarMahfud https://t.co/NsgwU9KPDl,hasil reformasi demokrasi baik buah orang daerah presiden beliau tabur garam langit demokrasi cerah langit demokrasi mendung moga bentang merah putih terjd hujan,2,"['hasil', 'reformasi', 'demokrasi', 'baik', 'buah', 'orang', 'daerah', 'presiden', 'beliau', 'tabur', 'garam', 'langit', 'demokrasi', 'cerah', 'langit', 'demokrasi', 'mendung', 'moga', 'bentang', 'merah', 'putih', 'terjd', 'hujan']",hasil reformasi demokrasi baik buah orang daerah presiden beliau tabur garam langit demokrasi cerah langit demokrasi mendung moga bentang merah putih terjd hujan
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/lAg3FqspeW,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/5lfBIFjRTV,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/DwWSDMEBCM,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/2V45jKCHbM,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/NFBaXKumAS,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/6pNZqbTMP2",milu rawan keluarga optimis mahfud menang satu putar,2,"['milu', 'rawan', 'keluarga', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",milu rawan keluarga optimis mahfud menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/XMaiTW8UB8,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/Rp90c7ZoOF,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
"PDI PERJUANGAN BALI MENANGKAN GANJAR-MAHFUD, OPTIMIS MENANG SATU PUTARAN https://t.co/Qc8HnF9zFb",juang bal menang mahfud optimis menang satu putar,2,"['juang', 'bal', 'menang', 'mahfud', 'optimis', 'menang', 'satu', 'putar']",juang bal menang mahfud optimis menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/bCeqikZyYi,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
PDIP BEKASI OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/R2fVgP6L27,pdip bekas optimis mahfud menang satu putar,2,"['pdip', 'bekas', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",pdip bekas optimis mahfud menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/v9VPDdS7eT,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/thBB1rHeoV,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/yWp9xAXb5D",milu rawan keluarga optimis mahfud menang satu putar,2,"['milu', 'rawan', 'keluarga', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",milu rawan keluarga optimis mahfud menang satu putar
"PDI PERJUANGAN BALI MENANGKAN GANJAR-MAHFUD, OPTIMIS MENANG SATU PUTARAN https://t.co/ZUhZD2Qct7",juang bal menang mahfud optimis menang satu putar,2,"['juang', 'bal', 'menang', 'mahfud', 'optimis', 'menang', 'satu', 'putar']",juang bal menang mahfud optimis menang satu putar
GUS AANG OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/dcr7FwSJ0H,aang optimis mahfud menang satu putar,2,"['aang', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",aang optimis mahfud menang satu putar
"PEMILU 2024, RELAWAN DAN KELUARGA OPTIMIS GANJAR-MAHFUD MENANG SATU PUTARAN https://t.co/yAPG6A3tiu",milu rawan keluarga optimis mahfud menang satu putar,2,"['milu', 'rawan', 'keluarga', 'optimis', 'mahfud', 'menang', 'satu', 'putar']",milu rawan keluarga optimis mahfud menang satu putar
"Bismillah 05/11/2023.  Calon Presiden Kita Pak @ganjarpranowo menghadiri acara Silaturrahmi Kerja Nasional Ikatan Cendekiawan Muslim  se-Indonesia 2023   Dalam acara tersebut, Pak Ganjar Memaparkan gagasan nya di sektor maritim Indonesia ðŸ¤Ÿ  #SahabatGanjar  #GanjarMahfud2024 https://t.co/QLMUTctrSZ",bismillah calon presiden hadir acara silaturrahmi kerja nasional ikat cendekiawan muslim indonesia acara papar gagas sektor maritim indonesia,2,"['bismillah', 'calon', 'presiden', 'hadir', 'acara', 'silaturrahmi', 'kerja', 'nasional', 'ikat', 'cendekiawan', 'muslim', 'indonesia', 'acara', 'papar', 'gagas', 'sektor', 'maritim', 'indonesia']",bismillah calon presiden hadir acara silaturrahmi kerja nasional ikat cendekiawan muslim indonesia acara papar gagas sektor maritim indonesia
@Melihat_Indo @ganjarpranowo Kesederhanaan juga kedekatan pak Ganjar dengan masyarakat selama ini sudah buktikan bahwa beliau memang tulus.,sederhana dekat masyarakat bukti beliau tulus,2,"['sederhana', 'dekat', 'masyarakat', 'bukti', 'beliau', 'tulus']",sederhana dekat masyarakat bukti beliau tulus
@kurawa @panca66 @kangdede78 hahaha ternyata sanggup makan kotoran sendiri  NO BOWO at All NO Kang Martabak  Jaga Martabat,hahaha nyata sanggup makan kotor bowo kang martabak jaga martabat,1,"['hahaha', 'nyata', 'sanggup', 'makan', 'kotor', 'bowo', 'kang', 'martabak', 'jaga', 'martabat']",nyata sanggup makan kotor bowo kang martabak jaga martabat
"Hmm yg gue heran, knp waktu pak ganjar nolak pildun tuh pd protes? Pdhl niatnya ya demi menjaga hubungan sm negara P jg. Ngapain main sm penjajah, apalagi tuan rumahnya mau di indo. Kan kita berprinsip, penjajahan di atas dunia harus di hapuskan-",heran waktu nolak pildun protes padahal niat jaga hubung sama negara sedang apa main sama jajah tuan rumah indo prinsip jajah atas dunia hapus,2,"['heran', 'waktu', 'nolak', 'pildun', 'protes', 'padahal', 'niat', 'jaga', 'hubung', 'sama', 'negara', 'sedang', 'apa', 'main', 'sama', 'jajah', 'tuan', 'rumah', 'indo', 'prinsip', 'jajah', 'atas', 'dunia', 'hapus']",heran waktu nolak pildun protes padahal niat jaga hubung sama negara sedang apa main sama jajah tuan rumah indo prinsip jajah atas dunia hapus
"@tamrintomagola hahaha..saya sebagai pendukung ganjar merasa geli aja, ya siapapun yg mau nyaleg, nyapres, nyalur, nyabub, bahkan nyalon RT ya pasti pencitraan, kek cowok yg baru PDKT ma cewek, kalo dah dapet yaudah.makanye sewajarnya,  Ganjar nanti paling jg kek gt, urip iku sakdermo nglakoni.",hahaha dukung rasa geli nyaleg nyapres nyalur nyabub nyalon retweet citra kayak cowok yang baru pdkt sama cewek ya sudah makanye wajar kayak urip sakdermo nglakoni,1,"['hahaha', 'dukung', 'rasa', 'geli', 'nyaleg', 'nyapres', 'nyalur', 'nyabub', 'nyalon', 'retweet', 'citra', 'kayak', 'cowok', 'yang', 'baru', 'pdkt', 'sama', 'cewek', 'ya', 'sudah', 'makanye', 'wajar', 'kayak', 'urip', 'sakdermo', 'nglakoni']",dukung rasa geli nyaleg nyapres nyalur nyabub nyalon retweet citra kayak cowok baru pdkt sama cewek makanye wajar kayak urip sakdermo nglakoni
@Melihat_Indo @ganjarpranowo Pak Ganjar pranowo pemimpin yang hebat dan bijaksana sukses selalu pak Ganjar pranowo,pimpin hebat bijaksana sukses,2,"['pimpin', 'hebat', 'bijaksana', 'sukses']",pimpin hebat bijaksana sukses
@ShenoWirang @Atiq_Tam kocak lo den...Ganjar yes!!!,kocak kamu,2,"['kocak', 'kamu']",kocak kamu
"@jpnncom Ganjar Mahfud adalah sosok yg tidak pernah melupakan akar mereka dan selalu berkomunikasi dengan rakyat mereka tidak pernah bersikap sombong atau arogan, bahkan saat menduduki jabatan publik yg tinggi Ganjar Mahfud",mahfud sosok lupa akar komunikasi rakyat sikap sombong arogan duduk jabat publik tinggi mahfud,2,"['mahfud', 'sosok', 'lupa', 'akar', 'komunikasi', 'rakyat', 'sikap', 'sombong', 'arogan', 'duduk', 'jabat', 'publik', 'tinggi', 'mahfud']",mahfud sosok lupa akar komunikasi rakyat sikap sombong arogan duduk jabat publik tinggi mahfud
@anismatta saat israel akan bermain disini hanya Ganjar yg bersuara dan melakukan aksi nyata boikot!,israel main suara laku aksi nyata boikot,2,"['israel', 'main', 'suara', 'laku', 'aksi', 'nyata', 'boikot']",israel main suara laku aksi nyata boikot
@Melihat_Indo @ganjarpranowo Pak Ganjar ga diragukan sih komitmennya,ragu komitmen,2,"['ragu', 'komitmen']",ragu komitmen
@narkosun @AimanWitjaksono Bismillah semoga diberi kelancaran dlm tugas mas @AimanWitjaksono dan mengantar Ganjar-Mahfud memimpin negeri ini,bismillah moga beri lancar tugas antar mahfud pimpin negeri,2,"['bismillah', 'moga', 'beri', 'lancar', 'tugas', 'antar', 'mahfud', 'pimpin', 'negeri']",bismillah moga beri lancar tugas antar mahfud pimpin negeri
"@Dennysiregar7 PDIP adalah partai yg memiliki kadernya luar biasa , dari Jokowi, Ganjar, Gibran, artinya PDIP berhasil dalam pendidikan kadernya. Terlepas dari intrik politik.jaga persatuan dan kesatuan NKRI""",pdip partai milik kader luar gibran arti pdip hasil didik kader lepas intrik politik jaga satu satu nkri,0,"['pdip', 'partai', 'milik', 'kader', 'luar', 'gibran', 'arti', 'pdip', 'hasil', 'didik', 'kader', 'lepas', 'intrik', 'politik', 'jaga', 'satu', 'satu', 'nkri']",pdip partai milik kader luar gibran arti pdip hasil didik kader lepas intrik politik jaga satu satu nkri
@Melihat_Indo @ganjarpranowo Ganjar pranowo selalu dihati jangan ragu untuk memilih pak Ganjar pranowo,hati ragu pilih,1,"['hati', 'ragu', 'pilih']",hati ragu pilih
@Melihat_Indo @ganjarpranowo Yakin dong atas kepemimpinan pak ganjar,yakin atas pimpin,2,"['yakin', 'atas', 'pimpin']",yakin atas pimpin
@KATADATAcoid dukungan penuh dari masyarakat Indonesia untuk pak Ganjar dan pak Mahfudâ¤,dukung penuh masyarakat indonesia mahfud,2,"['dukung', 'penuh', 'masyarakat', 'indonesia', 'mahfud']",dukung penuh masyarakat indonesia mahfud
"@Melihat_Indo @ganjarpranowo Semoga aspirasi masyarakat Bali terwujud, dan Ganjar bisa terus melayani Indonesia dengan kejujuran dan dedikasi yang tinggi.",moga aspirasi masyarakat bal wujud terus layan indonesia jujur dedikasi tinggi,2,"['moga', 'aspirasi', 'masyarakat', 'bal', 'wujud', 'terus', 'layan', 'indonesia', 'jujur', 'dedikasi', 'tinggi']",moga aspirasi masyarakat bal wujud terus layan indonesia jujur dedikasi tinggi
"pengakuan ganjar tentang video porno dalam posisi sebagai pejabat publik, yang sudah pasti berimplikasi publik #Megawaty #wanitaperisai #ganjarsukavideoporno  https://t.co/DilSpT9Pnb",aku video porno posisi jabat publik implikasi publik,1,"['aku', 'video', 'porno', 'posisi', 'jabat', 'publik', 'implikasi', 'publik']",aku video porno posisi jabat publik implikasi publik
"@CNNIndonesia Krna survei milik 9 naga, 9 naga condongnye ke ganjar n prabowo",survei milik naga naga condongnye,2,"['survei', 'milik', 'naga', 'naga', 'condongnye']",survei milik naga naga condongnye
@Melihat_Indo @ganjarpranowo Yakin ganjar selalu komit nih,yakin komit,2,"['yakin', 'komit']",yakin komit
Pak @jokowi kasihn banget Anda kalo Givran gak jadi wapres RI di 2024 mendatang dan Ganjar sekalipun dia jadi gak akan membela kepentingan pribadi Anda sama sekali.,kasihn banget givran jadi wapres datang jadi bela penting pribadi,2,"['kasihn', 'banget', 'givran', 'jadi', 'wapres', 'datang', 'jadi', 'bela', 'penting', 'pribadi']",kasihn banget givran wapres datang bela penting pribadi
@Melihat_Indo @ganjarpranowo Orang baik pilih orang baik  Ganjar pranowo lebih baik Sukses selalu pak Ganjar pranowo capres 2024,orang baik pilih orang baik baik sukses capres,2,"['orang', 'baik', 'pilih', 'orang', 'baik', 'baik', 'sukses', 'capres']",orang baik pilih orang baik baik sukses capres
@Melihat_Indo @ganjarpranowo Dukung ganjar karna track record nya konsisten,dukung track record konsisten,2,"['dukung', 'track', 'record', 'konsisten']",dukung track record konsisten
@ganjarpranowo @urbansneakersoc hal yg bisa dilakuin adalah dengan memberi dukungan ke produk lokal bangga sama pak ganjar,dilakuin beri dukung produk lokal bangga,2,"['dilakuin', 'beri', 'dukung', 'produk', 'lokal', 'bangga']",dilakuin beri dukung produk lokal bangga
@Melihat_Indo @ganjarpranowo Semoga pak ganjar bisa membantu rakyat untuk makin berkembang lg ðŸ¥°,moga bantu rakyat kembang,2,"['moga', 'bantu', 'rakyat', 'kembang']",moga bantu rakyat kembang
"@ganjarpranowo @urbansneakersoc selalu suka lihat segala aktivitas pak ganjar, semuanya selalu positif",suka lihat aktivitas positif,2,"['suka', 'lihat', 'aktivitas', 'positif']",suka lihat aktivitas positif
Trick pak jokowi sudah bisa di baca  Dia mau si ganjar pranowo menang  Tapi dia ga mau anies ada harapan  Jadi dia majukan Anak nya dan prabowo,trick baca menang harap jadi maju anak,2,"['trick', 'baca', 'menang', 'harap', 'jadi', 'maju', 'anak']",trick baca menang harap maju anak
@Melihat_Indo @ganjarpranowo Cuman pak ganjar sosok pemimpin yg udah jelas kinerja nya ðŸ¥°,sosok pimpin sudah jelas kerja,2,"['sosok', 'pimpin', 'sudah', 'jelas', 'kerja']",sosok pimpin jelas kerja
Pasca putusan MK tema keberlanjutan akan diusung oleh Prabowo kubu Ganjar mulai pudar dengan tema ini  tema yg diciptakan kedepan nanti adalah yg pro politik dinasti (Prabowo) melawan yg anti dinasti (Ganjar Anies)  itu akan otomatis terbentuk di masyarakat,pasca putus tema lanjut usung kubu mulai pudar tema tema cipta depan profesional politik dinasti lawan anti dinasti otomatis bentuk masyarakat,0,"['pasca', 'putus', 'tema', 'lanjut', 'usung', 'kubu', 'mulai', 'pudar', 'tema', 'tema', 'cipta', 'depan', 'profesional', 'politik', 'dinasti', 'lawan', 'anti', 'dinasti', 'otomatis', 'bentuk', 'masyarakat']",pasca putus tema lanjut usung kubu mulai pudar tema tema cipta depan profesional politik dinasti lawan anti dinasti otomatis bentuk masyarakat
@VIVAcoid semoga ganjar  mahfud dipermudah jadi presiden 2024,moga mahfud mudah jadi presiden,2,"['moga', 'mahfud', 'mudah', 'jadi', 'presiden']",moga mahfud mudah presiden
@Gus_Raharjo Pilihan terbaik hanya untuk orang terbaik GANJAR MAHFUD,pilih baik orang baik mahfud,2,"['pilih', 'baik', 'orang', 'baik', 'mahfud']",pilih baik orang baik mahfud
@Melihat_Indo @ganjarpranowo Semangat pak masyarakat sangat berharap pada pak ganjar untuk bisa memajukan Indonesia,semangat masyarakat harap maju indonesia,2,"['semangat', 'masyarakat', 'harap', 'maju', 'indonesia']",semangat masyarakat harap maju indonesia
@Melihat_Indo @ganjarpranowo Yakin ganjar selalu tulus dan konsisten,yakin tulus konsisten,2,"['yakin', 'tulus', 'konsisten']",yakin tulus konsisten
@Melihat_Indo @ganjarpranowo Semoga pak ganjar kerja buat rakyat dan selalu amanah ðŸ¥°,moga kerja rakyat amanah,2,"['moga', 'kerja', 'rakyat', 'amanah']",moga kerja rakyat amanah
@hansssolo Ijin tanya pak. Mengenai kebebasan mendirikan rumah ibadah apakah akan ada perubahan di kepemimpinan pak Ganjar dan pak Mahfud ?,ijin tanya kena bebas diri rumah ibadah ubah pimpin mahfud,0,"['ijin', 'tanya', 'kena', 'bebas', 'diri', 'rumah', 'ibadah', 'ubah', 'pimpin', 'mahfud']",ijin tanya kena bebas diri rumah ibadah ubah pimpin mahfud
@Melihat_Indo @ganjarpranowo Semoga aja pak ganjar bisa selalu amanah ðŸ¥°,moga amanah,2,"['moga', 'amanah']",moga amanah
Wadawww... Pak Ganjar suka nonton juga https://t.co/dCztOUVlQ2 Penyebab-ganjar-makin-tertinggal-dari-prabowo,wadawww suka nonton sebab tinggal,2,"['wadawww', 'suka', 'nonton', 'sebab', 'tinggal']",wadawww suka nonton tinggal
"MALMING INI, BEGADANG DI GOR JATIDIRI SEMARANG.... SATU KOMANDO DUKUNG GANJAR MAHFUD ðŸ¤ŸðŸ¤ŸðŸ¤ŸðŸ”¥ https://t.co/4dR0yjPRxa",malam minggu begadang jatidiri semarang satu komando dukung mahfud,2,"['malam', 'minggu', 'begadang', 'jatidiri', 'semarang', 'satu', 'komando', 'dukung', 'mahfud']",malam minggu begadang jatidiri semarang satu komando dukung mahfud
"@liputan6dotcom Pura2 aja kalian itu, sejati kalian itu sama, mau Ganjar mau Prabowo sebenarnya satu misi satu bossâ€¦Insya Allah Anies RI.1 Aamiinn",pura sejati satu misi satu insya allah aamiinn,0,"['pura', 'sejati', 'satu', 'misi', 'satu', 'insya', 'allah', 'aamiinn']",pura sejati satu misi satu insya allah aamiinn
@yunartowijaya Anies sama Ganjar masuk putaran ke 2 kayanya. Pemilih Prabowo terpecah 2 ada yang ke Anies ada yang ke Ganjar,masuk putar kayak pilih pecah,0,"['masuk', 'putar', 'kayak', 'pilih', 'pecah']",masuk putar kayak pilih pecah
Kita kalahkan keluarga @jokowi @gibran_tweet @kaesangp di 2024  Sebagai perjuangan INTEGRITY MORAL &amp  MENTAL yang sudah dilakukan dalam program REVOLUSI MENTAL,kalah keluarga juang integrity moral mental laku program revolusi mental,2,"['kalah', 'keluarga', 'juang', 'integrity', 'moral', 'mental', 'laku', 'program', 'revolusi', 'mental']",kalah keluarga juang integrity moral mental laku program revolusi mental
@yunartowijaya Yg pasti tim Ganjar sudah Solid kata bu Puan juga https://t.co/EhWUzX0d1t,solid kata,2,"['solid', 'kata']",solid kata
@Melihat_Indo @ganjarpranowo Semoga aja pak ganjar tidak mengecewakan kita semua ðŸ¥°,moga kecewa,0,"['moga', 'kecewa']",moga kecewa
"@PartaiSocmed Monggo tim Ganjar, sosialisasikan pengumuman ini ke semua barisannya.",monggo sosialisasi umum baris,2,"['monggo', 'sosialisasi', 'umum', 'baris']",monggo sosialisasi umum baris
harusnya sebagai pejabat publik ganjar jangan bicara suka film porno kan blunder #Megawaty #wanitaperisai #ganjarsukavideoporno https://t.co/DilSpT9Pnb,jabat publik bicara suka film porno blunder,1,"['jabat', 'publik', 'bicara', 'suka', 'film', 'porno', 'blunder']",jabat publik bicara suka film porno blunder
"@Dennysiregar7 @BadruddinAl @gibran_tweet @PDI_Perjuangan @__AnakKolong Denny Denny...dulu Jokowi kau puja2,dimatamu Jokowi selalu benar,seandainya Gibran JD wakilnya Ganjar,mungkin km ga  emosian kek sekarg iniðŸ¤£ðŸ¤£ðŸ¤£",denny denny kamu puja mata benar anda gibran jadi wakil kilometer emosi kayak sekarg,1,"['denny', 'denny', 'kamu', 'puja', 'mata', 'benar', 'anda', 'gibran', 'jadi', 'wakil', 'kilometer', 'emosi', 'kayak', 'sekarg']",denny denny kamu puja mata benar gibran wakil kilometer emosi kayak sekarg
@Melihat_Indo @ganjarpranowo Pak ganjar rekam jejaknya bersih,rekam jejak bersih,2,"['rekam', 'jejak', 'bersih']",rekam jejak bersih
